n,arcs
4,6
4,6
4,5
4,5
4,6
4,5
4,5
4,5
4,5
4,5
5,7
5,7
5,7
5,8
5,8
5,7
5,8
5,8
5,8
5,8
6,10
6,10
6,10
6,12
6,11
6,10
6,12
6,10
6,10
6,12
7,14
7,13
7,12
7,12
7,11
7,13
7,13
7,14
7,12
7,16
8,16
8,17
8,15
8,16
8,18
8,17
8,17
8,15
8,17
8,16
9,18
9,17
9,19
9,20
9,20
9,20
9,18
9,21
9,21
9,18
10,22
10,26
10,26
10,22
10,21
10,20
10,20
10,22
10,23
10,20
11,23
11,25
11,23
11,26
11,24
11,27
11,24
11,26
11,24
11,26
12,29
12,31
12,29
12,27
12,27
12,27
12,28
12,25
12,27
12,26
13,31
13,30
13,32
13,33
13,30
13,34
13,31
13,32
13,28
13,29
14,34
14,37
14,33
14,33
14,32
14,37
14,34
14,34
14,34
14,34
15,40
15,37
15,37
15,35
15,36
15,36
15,34
15,36
15,39
15,37
16,39
16,40
16,39
16,37
16,39
16,38
16,39
16,44
16,39
16,45
17,44
17,41
17,40
17,45
17,40
17,43
17,40
17,39
17,41
17,42
18,42
18,45
18,46
18,48
18,43
18,46
18,48
18,43
18,45
18,45
19,51
19,45
19,46
19,46
19,47
19,49
19,48
19,45
19,48
19,46
20,51
20,49
20,50
20,56
20,48
20,51
20,48
20,48
20,48
20,47
21,53
21,54
21,57
21,54
21,53
21,52
21,53
21,59
21,54
21,52
22,52
22,60
22,63
22,57
22,55
22,57
22,55
22,58
22,59
22,56
23,62
23,57
23,61
23,59
23,58
23,64
23,60
23,66
23,56
23,59
24,61
24,62
24,61
24,62
24,62
24,61
24,60
24,61
24,62
24,63
25,71
25,64
25,68
25,66
25,64
25,65
25,69
25,69
25,74
25,66
26,69
26,71
26,74
26,68
26,67
26,67
26,70
26,70
26,65
26,68
27,78
27,70
27,69
27,73
27,73
27,70
27,72
27,74
27,70
27,71
28,74
28,74
28,72
28,74
28,76
28,75
28,75
28,78
28,78
28,72
29,75
29,75
29,76
29,78
29,79
29,79
29,77
29,80
29,77
29,82
30,77
30,82
30,79
30,84
30,81
30,79
30,80
30,78
30,76
30,84
31,81
31,84
31,84
31,81
31,81
31,81
31,88
31,89
31,82
31,81
32,87
32,88
32,86
32,85
32,87
32,87
32,84
32,88
32,88
32,88
33,92
33,87
33,89
33,88
33,91
33,87
33,96
33,89
33,89
33,88
34,93
34,92
34,96
34,103
34,94
34,91
34,93
34,95
34,91
34,96
35,94
35,96
35,97
35,96
35,94
35,101
35,95
35,96
35,98
35,93
36,94
36,98
36,94
36,104
36,97
36,98
36,101
36,97
36,103
36,98
37,103
37,99
37,103
37,101
37,102
37,99
37,101
37,99
37,103
37,100
38,108
38,100
38,103
38,106
38,103
38,104
38,104
38,104
38,104
38,104
39,109
39,103
39,105
39,107
39,107
39,111
39,103
39,109
39,106
39,107
