n,randomRestarts
5,18
5,0
5,0
5,0
5,6
5,0
5,2
5,2
5,0
5,0
10,0
10,4
10,0
10,1
10,1
10,3
10,1
10,6
10,1
10,1
15,1
15,0
15,0
15,1
15,0
15,3
15,0
15,5
15,3
15,1
20,3
20,0
20,2
20,2
20,7
20,0
20,1
20,0
20,3
20,1
25,0
25,0
25,0
25,0
25,0
25,0
25,6
25,0
25,1
25,0
30,0
30,0
30,3
30,4
30,0
30,0
30,3
30,0
30,0
30,0
35,0
35,2
35,0
35,3
35,0
35,0
35,0
35,1
35,0
35,0
40,0
40,0
40,4
40,1
40,0
40,0
40,6
40,0
40,0
40,0
45,1
45,0
45,4
45,0
45,8
45,0
45,6
45,0
45,7
45,4
50,0
50,4
50,0
50,0
50,0
50,8
50,0
50,3
50,0
50,1
55,7
55,3
55,1
55,1
55,0
55,0
55,0
55,0
55,0
55,0
60,0
60,9
60,9
60,0
60,4
60,0
60,5
60,1
60,0
60,3
65,3
65,1
65,0
65,0
65,1
65,0
65,1
65,2
65,6
65,0
70,0
70,0
70,0
70,0
70,3
70,5
70,0
70,9
70,6
70,11
75,2
75,0
75,6
75,0
75,1
75,6
75,0
75,0
75,0
75,4
80,0
80,5
80,0
80,8
80,0
80,0
80,1
80,5
80,6
80,9
85,6
85,1
85,2
85,0
85,4
85,0
85,1
85,5
85,0
85,0
90,2
90,1
90,1
90,0
90,5
90,0
90,0
90,2
90,10
90,0
95,4
95,9
95,2
95,8
95,5
95,4
95,6
95,7
95,0
95,0
100,5
100,3
100,9
100,0
100,0
100,2
100,0
100,9
100,0
100,10
105,0
105,0
105,5
105,0
105,0
105,0
105,5
105,0
105,9
105,9
110,3
110,16
110,0
110,3
110,6
110,12
110,6
110,0
110,11
110,1
115,4
115,3
115,0
115,9
115,5
115,2
115,4
115,6
115,2
115,4
120,4
120,0
120,7
120,0
120,2
120,9
120,3
120,8
120,5
120,8
125,6
125,3
125,11
125,2
125,4
125,20
125,1
125,1
125,3
125,5
130,16
130,0
130,4
130,6
130,3
130,6
130,0
130,3
130,4
130,6
135,10
135,4
135,4
135,3
135,0
135,3
135,4
135,4
135,6
135,6
140,1
140,5
140,10
140,6
140,6
140,1
140,9
140,16
140,1
140,0
145,8
145,3
145,12
145,0
145,18
145,3
145,0
145,4
145,6
145,0
150,3
150,0
150,2
150,8
150,10
150,5
150,21
150,0
150,7
150,10
155,0
155,4
155,5
155,0
155,5
155,10
155,0
155,1
155,0
155,14
160,0
160,11
160,1
160,0
160,2
160,8
160,5
160,9
160,13
160,12
165,7
165,14
165,1
165,1
165,0
165,2
165,12
165,9
165,0
165,0
170,0
170,17
170,6
170,1
170,5
170,5
170,13
170,0
170,0
170,12
175,4
175,4
175,15
175,9
175,8
175,4
175,11
175,4
175,7
175,1
180,5
180,8
180,0
180,1
180,5
180,8
180,2
180,11
180,0
180,10
185,5
185,3
185,0
185,9
185,4
185,7
185,5
185,8
185,7
185,27
190,2
190,9
190,5
190,13
190,17
190,16
190,10
190,0
190,5
190,0
195,3
195,9
195,2
195,0
195,2
195,6
195,0
195,10
195,6
195,3
200,34
200,13
200,0
200,8
200,7
200,4
200,24
200,7
200,13
200,2
205,10
205,10
205,3
205,0
205,0
205,7
205,6
205,1
205,15
205,8
210,6
210,1
210,21
210,19
210,18
210,3
210,13
210,13
210,14
210,10
215,0
215,0
215,13
215,1
215,3
215,1
215,8
215,0
215,11
215,15
220,0
220,18
220,7
220,9
220,3
220,10
220,19
220,7
220,11
220,9
225,18
225,7
225,15
225,11
225,10
225,12
225,12
225,9
225,1
225,9
230,4
230,3
230,2
230,7
230,1
230,7
230,4
230,15
230,8
230,3
235,4
235,5
235,5
235,12
235,28
235,17
235,17
235,27
235,13
235,3
240,23
240,5
240,0
240,9
240,2
240,2
240,0
240,14
240,3
240,14
245,8
245,2
245,8
245,11
245,3
245,7
245,1
245,4
245,3
245,1
250,1
250,2
250,10
250,7
250,6
250,0
250,0
250,12
250,1
250,14
255,14
255,8
255,22
255,7
255,8
255,17
255,0
255,2
255,4
255,5
260,8
260,8
260,4
260,0
260,0
260,14
260,0
260,11
260,1
260,4
265,22
265,1
265,17
265,8
265,1
265,6
265,1
265,14
265,5
265,6
270,3
270,10
270,6
270,0
270,6
270,3
270,4
270,18
270,2
270,33
275,5
275,12
275,21
275,3
275,19
275,1
275,25
275,0
275,2
275,5
280,9
280,5
280,6
280,4
280,6
280,38
280,17
280,6
280,17
280,1
285,36
285,11
285,18
285,4
285,8
285,0
285,0
285,18
285,15
285,5
290,26
290,0
290,19
290,15
290,7
290,21
290,7
290,7
290,1
290,12
295,8
295,12
295,9
295,14
295,9
295,13
295,9
295,7
295,6
295,19
300,0
300,7
300,1
300,6
300,22
300,25
300,23
300,7
300,9
300,0
305,9
305,0
305,13
305,4
305,0
305,3
305,9
305,5
305,2
305,9
310,5
310,4
310,16
310,32,Error
310,7
310,2
310,7
310,6
310,6
310,4
315,19
315,13
315,13
315,36,Error
315,10
315,9
315,1
315,6
315,1
315,11
320,2
320,12
320,10
320,16
320,17
320,8
320,7
320,12
320,10
320,12
325,8
325,16
325,15
325,7
325,3
325,7
325,0
325,32,Error
325,6
325,6
330,9
330,8
330,31
330,11
330,23
330,11
330,17
330,7
330,0
330,5
335,37,Error
335,11
335,0
335,14
335,14
335,14
335,0
335,22
335,33,Error
335,9
340,3
340,12
340,1
340,5
340,1
340,11
340,14
340,7
340,16
340,9
345,2
345,21
345,7
345,8
345,3
345,1
345,8
345,23
345,5
345,7
350,7
350,7
350,6
350,18
350,8
350,1
350,4
350,0
350,18
350,6
355,10
355,3
355,0
355,0
355,36,Error
355,10
355,1
355,4
355,4
355,0
360,12
360,26
360,28
360,0
360,30,Error
360,8
360,22
360,10
360,22
360,28
365,11
365,24
365,11
365,27
365,2
365,7
365,11
365,24
365,0
365,17
370,2
370,9
370,1
370,9
370,14
370,5
370,16
370,0
370,16
370,21
375,12
375,9
375,10
375,12
375,0
375,0
375,6
375,2
375,31,Error
375,8
380,16
380,8
380,8
380,9
380,10
380,11
380,8
380,20
380,9
380,31,Error
385,21
385,8
385,29,Error
385,22
385,20
385,6
385,11
385,10
385,14
385,12
390,12
390,28,Error
390,9
390,14
390,4
390,2
390,21
390,20
390,9
390,14
395,10
395,5
395,5
395,3
395,22
395,32,Error
395,28
395,16
395,1
395,9
400,1
400,17
400,7
400,1
400,0
400,15
400,7
400,1
400,23
400,15
405,4
405,9
405,14
405,7
405,1
405,13
405,10
405,0
405,0
405,11
410,6
410,16
410,10
410,20
410,6
410,4
410,8
410,10
410,19
410,31,Error
415,29,Error
415,20
415,10
415,34,Error
415,6
415,7
415,13
415,5
415,27
415,0
420,29,Error
420,1
420,17
420,8
420,25
420,12
420,5
420,1
420,27
420,0
425,3
425,16
425,10
425,9
425,0
425,5
425,5
425,14
425,3
425,29
430,31,Error
430,13
430,2
430,14
430,7
430,15
430,18
430,10
430,0
430,6
435,32,Error
435,0
435,6
435,20
435,8
435,7
435,26,Error
435,5
435,0
435,7
440,29,Error
440,13
440,12
440,8
440,11
440,31,Error
440,15
440,20
440,17
440,0
445,5
445,11
445,7
445,6
445,5
445,4
445,26,Error
445,17
445,9
445,20
450,24
450,6
450,16
450,23
450,14
450,25,Error
450,5
450,11
450,7
450,5
455,7
455,10
455,8
455,26
455,2
455,4
455,6
455,17
455,3
455,26
460,16
460,6
460,22
460,9
460,17
460,3
460,6
460,13
460,16
460,7
465,9
465,15
465,4
465,5
465,7
465,11
465,13
465,10
465,9
465,26,Error
470,14
470,16
470,21
470,26,Error
470,9
470,25,Error
470,16
470,2
470,24
470,29,Error
475,6
475,14
475,16
475,18
475,4
475,30,Error
475,14
475,14
475,25,Error
475,22
480,3
480,6
480,24,Error
480,23
480,22
480,24,Error
480,9
480,2
480,8
480,5
485,13
485,10
485,3
485,5
485,15
485,8
485,17
485,10
485,14
485,1
490,13
490,25,Error
490,3
490,17
490,10
490,22
490,15
490,33,Error
490,28,Error
490,29
495,2
495,25,Error
495,11
495,1
495,7
495,24,Error
495,18
495,9
495,0
495,27,Error
500,18
500,19
500,8
500,9
500,11
500,16
500,9
500,13
500,22
500,10
505,22
505,10
505,26
505,25
